short,full
unknown,Unknown
bankssts,Banks superior temporal sulcus
caudalanteriorcingulate,Caudal anterior-cingulate cortex
caudalmiddlefrontal,Caudal middle frontal gyrus
corpuscallosum,Corpus callosum
cuneus,Cuneus cortex
entorhinal,Entorhinal cortex
fusiform,Fusiform gyrus
inferiorparietal,Inferior parietal cortex
inferiortemporal,Inferior temporal gyrus
isthmuscingulate,Isthmus–cingulate cortex
lateraloccipital,Lateral occipital cortex
lateralorbitofrontal,Lateral orbital frontal cortex
lingual,Lingual gyrus
medialorbitofrontal,Medial orbital frontal cortex
middletemporal,Middle temporal gyrus
parahippocampal,Parahippocampal gyrus
paracentral,Paracentral lobule
parsopercularis,Pars opercularis
parsorbitalis,Pars orbitalis
parstriangularis,Pars triangularis
pericalcarine,Pericalcarine cortex
postcentral,Postcentral gyrus
posteriorcingulate,Posterior-cingulate cortex
precentral,Precentral gyrus
precuneus,Precuneus cortex
rostralanteriorcingulate,Rostral anterior cingulate cortex
rostralmiddlefrontal,Rostral middle frontal gyrus
superiorfrontal,Superior frontal gyrus
superiorparietal,Superior parietal cortex
superiortemporal,Superior temporal gyrus
supramarginal,Supramarginal gyrus
frontalpole,Frontal Pole
temporalpole,Temporal pole
transversetemporal,Transverse temporal cortex
insula,Insular Cortex
