short,full,pretty
G_and_S_frontomargin,Fronto-marginal gyrus (of Wernicke) and sulcus      ,Fronto-marginal gyrus and sulcus      
G_and_S_occipital_inf,Inferior occipital gyrus (O3) and sulcus      ,Inferior occipital gyrus and sulcus      
G_and_S_paracentral,Paracentral lobule and sulcus        ,Paracentral lobule and sulcus        
G_and_S_subcentral,Subcentral gyrus (central operculum) and sulci      ,Subcentral gyrus (central operculum) and sulci      
G_and_S_transv_frontopol,Transverse frontopolar gyri and sulci       ,Transverse frontopolar gyri and sulci       
G_and_S_cingul-Ant,Anterior part of the cingulate gyrus and sulcus (ACC)   ,Cingulate gyrus and sulcus
G_and_S_cingul-Mid-Ant,Middle-anterior part of the cingulate gyrus and sulcus (aMCC)   ,Cingulate gyrus and sulcus
G_and_S_cingul-Mid-Post,Middle-posterior part of the cingulate gyrus and sulcus (pMCC)   ,Cingulate gyrus and sulcus 
G_cingul-Post-dorsal,Posterior-dorsal part of the cingulate gyrus (dPCC)     ,Cingulate gyrus
G_cingul-Post-ventral,"Posterior-ventral part of the cingulate gyrus (vPCC, isthmus of the cingulate gyrus)",Isthmus of the cingulate gyrus
G_cuneus,Cuneus (O6) ,Cuneus
G_front_inf-Opercular,Opercular part of the inferior frontal gyrus     ,Opercular part of the inferior frontal gyrus     
G_front_inf-Orbital,Orbital part of the inferior frontal gyrus     ,Orbital part of the inferior frontal gyrus     
G_front_inf-Triangul,Triangular part of the inferior frontal gyrus     ,Triangular part of the inferior frontal gyrus     
G_front_middle,Middle frontal gyrus (F2)        ,Middle frontal gyrus
G_front_sup,Superior frontal gyrus (F1)        ,Superior frontal gyrus
G_Ins_lg_and_S_cent_ins,Long insular gyrus and central sulcus of the insula   ,Long insular gyrus and central sulcus of the insula   
G_insular_short,Short insular gyri         ,Short insular gyri         
G_occipital_middle,"Middle occipital gyrus (O2, lateral occipital gyrus)     ",Middle occipital gyrus (lateral occipital gyrus)     
G_occipital_sup,Superior occipital gyrus (O1)        ,Superior occipital gyrus  
G_oc-temp_lat-fusifor,"Lateral occipito-temporal gyrus (fusiform gyrus, O4-T4)      ",Lateral occipito-temporal gyrus
G_oc-temp_med-Lingual,"Lingual gyrus, ligual part of the medial occipito-temporal gyrus, (O5)  ",Lingual gyrus
G_oc-temp_med-Parahip,"Parahippocampal gyrus, parahippocampal part of the medial occipito-temporal gyrus, (T5)  ",Parahippocampal gyrus
G_orbital,Orbital gyri          ,Orbital gyri          
G_pariet_inf-Angular,Angular gyrus          ,Angular gyrus          
G_pariet_inf-Supramar,Supramarginal gyrus          ,Supramarginal gyrus          
G_parietal_sup,Superior parietal lobule (lateral part of P1)     ,Superior parietal lobule
G_postcentral,Postcentral gyrus          ,Postcentral gyrus          
G_precentral,Precentral gyrus          ,Precentral gyrus          
G_precuneus,Precuneus (medial part of P1)       ,Precuneus
G_rectus,"Straight gyrus, Gyrus rectus        ",Straight gyrus    
G_subcallosal,"Subcallosal area, subcallosal gyrus        ","Subcallosal area, subcallosal gyrus        "
G_temp_sup-G_T_transv,Anterior transverse temporal gyrus (of Heschl)      ,Anterior transverse temporal gyrus (of Heschl)      
G_temp_sup-Lateral,Lateral aspect of the superior temporal gyrus     ,Superior temporal gyrus     
G_temp_sup-Plan_polar,Planum polare of the superior temporal gyrus     ,Superior temporal gyrus     
G_temp_sup-Plan_tempo,Planum temporale or temporal plane of the superior temporal gyrus  ,Planum temporale or temporal plane
